text,Optimistic,Pessimistic,Sad,Surprise
 يابن الحلال لاعاد تغرد عن كورونا الا فالسعوديه نافصين قلق احنا كل شوي مطلع دوله  (قلب_مجروح)  (قلب_مجروح) ,0,0,1,0
تطلع تضربك كرونا خير ما يذلك نت ليبيانا الكلب,0,0,1,0
خطيه خطيه خطيه من بداية كورونا على الناس الأحزاب بالجنوب والوسط صار شكد عليهم حجر رجاءً مو خطيه,0,0,1,0
والبطل من يطبق ما يريحه من عادات حتى بعد كورونا.. وكل شخص ينام على الجنب الي يريحه. لعلها خير!    ,1,0,0,0
" (محظور) عاجل ..     البحرين تعلن القضاء على فايروس كرونا نهائياً..!     هذا الي ننتظره بس ، الله يفرحنا  folded_hands ",1,0,0,0
"\ الفرقة الناجية في زمان كورونا هيَ المعتزلة، والهالكة هيَ الخوارج \""",1,0,0,0
شابين بحالة جيدة بلندن توفوا بسبب كورونا ولم يعانوا من اَي مشاكل صحية,0,1,1,0
بسبب اول مرة في حياتي اشتري ملابس اون لاين .   يارب تطلع القياسات صح,0,0,0,1
فيها ايه لو العشاق يزيدو اتنين والله ما هيجرا حاجة       ,0,0,0,1
 : أكبر عدد وفيات سيكون في أمريكا لانها ليست ديكتاتورية مثل الصين...,0,1,0,0
وشبصير لو واحد عنده كورونا اختلط مع واحد عنده كورونا؟,0,0,0,1
 الزمن ده زمن العدل أين نحن منه الآن مين عارف ربنا يجعل في قضاه رحمه ويزهر من جديد علي انقاض كورونا,1,0,0,0
 أش دخل كورونا في الراتب.   طيب أقل شي علمونا كم باقي إن شاء الله ويروح ويذهب.  (حزين) ,0,0,1,0
انا من قريت اكتشفت توقعت اكتشفتي علاج كورونا بس للاسف,0,1,1,0
10 حالات كورونا في ليبيا وكلها في المنطقة الغربية .. يبدو لي أن كورونا له علاقة بالجنس الآدمي فقط ..,0,0,1,0
"حتى مسلسل سليمان الطيب طالعت ، لوين بتوصلينا يا كورونا",0,1,1,0
ما سمعنا صوت معهد الابحاث عن الفايروس كورونا ؟؟ ولا علقو ؟؟,0,0,0,1
 بعد كورونا اتوقع سيتوجه العالم لطلب العلاج في السعودية بدلًا من امريكا وغيرها وتصبح فخر ودخل للوطن يوازي البترول وغيرة,1,0,0,0
