text,sentiment_id,Sad,Surprise,Optimistic,Pessimistic,Thankful,Empathetic,Anxious,Annoyed,Denial,Official,Joking
 يابن الحلال لاعاد تغرد عن كورونا الا فالسعوديه نافصين قلق احنا كل شوي مطلع دوله 💔💔,Negative,1,0,0,0,0,0,1,1,0,0,0
تطلع تضربك كرونا خير ما يذلك نت ليبيانا الكلب,Negative,1,0,0,0,0,0,0,1,0,0,0
خطيه خطيه خطيه من بداية كورونا على الناس الأحزاب بالجنوب والوسط صار شكد عليهم حجر رجاءً مو خطيه,Negative,1,0,0,0,0,0,1,1,0,0,0
والبطل من يطبق ما يريحه من عادات حتى بعد كورونا.. وكل شخص ينام على الجنب الي يريحه. لعلها خير!    ,Positive,0,0,1,0,0,0,0,0,0,0,0
الحالات المسجلة 10 وشفاء حالة يتبقى 9 حالات,Neutral,0,0,0,0,0,0,0,0,0,1,0
 يعني لما الواحد فيه سُعال خفيف خلاص قدهوا كورونا ومعيصبش بكورونا مره اخرى😄😄,Joking,0,0,0,0,0,0,0,0,0,0,1
" من أقوال سارة المنحجرة : \إذا شفت كورونا بطقه بالسيف\"" 🤲🏻""",Joking,0,0,0,0,0,0,0,0,0,0,1
"🔴عاجل ..     البحرين تعلن القضاء على فايروس كرونا نهائياً..!     هذا الي ننتظره بس ، الله يفرحنا 🙏",Positive,0,0,1,0,0,1,0,0,0,0,0
يا رب تحفظ الكويت وأهلها وبلاد المسلمين من كل شر ومن كورونا يارب,Positive,0,0,0,0,0,1,0,0,0,0,0
عندها كورونا في العقل ولا بي طريقت الحمير حقتنه,Negative,0,0,0,0,0,0,0,1,0,0,0
"\ الفرقة الناجية في زمان كورونا هيَ المعتزلة، والهالكة هيَ الخوارج \""",Positive,0,0,1,0,0,0,0,0,0,0,0
"عيونك فايروس كورونا ، و قلبي صيني مايتحمل",Joking,0,0,0,0,0,0,0,0,0,0,1
 كورونا وامر الدولة بتأديبهم فصلة عقولهم 😂,Joking,0,0,0,0,0,0,0,0,0,0,1
من فضلكم هل من الممكن أن يصيب شخصا فيروس كورونا بمرتين؟,Negative,0,0,0,0,0,0,1,0,0,0,0
شابين بحالة جيدة بلندن توفوا بسبب كورونا ولم يعانوا من اَي مشاكل صحية,Negative,1,0,0,1,0,0,0,0,0,0,0
الصحة العالمية: عدد المصابين ب في العالم يتجاوز الـ750 ألفا,Neutral,0,0,0,0,0,0,0,0,0,1,0
 في كلام علي أن في حد من عائلتك أصابه كرونا ارجو تكذيب أو التأكيد,Negative,0,0,0,0,0,0,1,1,0,0,0
بسبب اول مرة في حياتي اشتري ملابس اون لاين .   يارب تطلع القياسات صح,Neutral,0,1,0,0,0,0,0,0,0,0,0
