text,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official,Surprise,Joking
 ____ ______ _____ ____ __ ______ ___ _________ ______ ___ ____ __ ___ ____ ____  (_________)  (_________) ,0,0,0,0,1,1,1,0,0,0,0
____ _____ _____ ___ __ ____ __ _______ _____,0,0,0,0,0,1,1,0,0,0,0
____ ____ ____ __ _____ ______ ___ _____ _______ _______ ______ ___ ___ _____ ___ _____ __ ____,0,0,0,0,1,1,1,0,0,0,0
______ __ ____ __ _____ __ _____ ___ ___ ______.. ___ ___ ____ ___ _____ ___ _____. _____ ___!    ,1,0,0,0,0,0,0,0,0,0,0
_______ _______ 10 _____ ____ _____ 9 _____,0,0,0,0,0,0,0,0,1,0,0
 ____ ___ ______ ___ _____ ____ ____ _____ ______ _______ _______ ___ ____ (___)  (___) ,0,0,0,0,0,0,0,0,0,0,1
" __ _____ ____ ________ : \___ ___ ______ ____ ______\"" __ light_skin_tone """,0,0,0,0,0,0,0,0,0,0,1
" (_____) ____ ..     _______ ____ ______ ___ ______ _____ _______..!     ___ ___ ______ __ _ ____ ______  folded_hands ",1,0,1,0,0,0,0,0,0,0,0
__ __ ____ ______ ______ _____ ________ __ __ __ ___ ______ ____,0,0,1,0,0,0,0,0,0,0,0
_____ ______ __ _____ ___ __ _____ ______ _____,0,0,0,0,0,0,1,0,0,0,0
"\ ______ _______ __ ____ ______ ___ _________ ________ ___ _______ \""",1,0,0,0,0,0,0,0,0,0,0
"_____ ______ ______ _ _ ____ ____ _______",0,0,0,0,0,0,0,0,0,0,1
 ______ ____ ______ ________ ____ ______  (___ ___) ,0,0,0,0,0,0,0,0,0,0,1
__ _____ __ __ ______ __ ____ ____ _____ ______ _______,0,0,0,0,1,0,0,0,0,0,0
_____ _____ ____ _____ _____ ____ ______ ___ ______ __ ___ _____ ____,0,0,0,1,0,1,0,0,0,0,0
_____ ________: ___ ________ _ __ ______ ______ ___750 ____,0,0,0,0,0,0,0,0,1,0,0
 __ ____ ___ __ __ __ __ ______ _____ _____ ____ _____ __ _______,0,0,0,0,1,0,1,0,0,0,0
____ ___ ___ __ _____ _____ _____ ___ ____ .   ____ ____ ________ __,0,0,0,0,0,0,0,0,0,1,0
___ |   _____ ____ ____ _______ ____ ____ __ _____ ____ ___ _______,0,0,0,0,0,0,0,0,1,0,0
____ ___ __ ______ _____ _____ _____ __ _____ ____       ,0,0,0,0,0,0,0,0,0,1,0
