text,sentiment_id,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official,Surprise,Joking
يابن الحلال لاعاد تغرد كورونا فالسعوديه نافصين قلق احنا شوي مطلع دوله,Negative,0,0,0,0,1,1,1,0,0,0,0
تطلع تضربك كرونا خير يذلك نت ليبيانا الكلب,Negative,0,0,0,0,0,1,1,0,0,0,0
خطيه خطيه خطيه بدايه كورونا الناس الاحزاب بالجنوب والوسط شكد حجر رجاء مو خطيه,Negative,0,0,0,0,1,1,1,0,0,0,0
والبطل يطبق يريحه عادات كورونا وكل شخص ينام الجنب يريحه لعلها خير,Positive,1,0,0,0,0,0,0,0,0,0,0
الحالات المسجله وشفاء حاله يتبقى حالات,Neutral,0,0,0,0,0,0,0,0,1,0,0
يعني الواحد س عال خفيف خلاص قدهوا كورونا ومعيصبش بكورونا,Joking,0,0,0,0,0,0,0,0,0,0,1
اقوال ساره المنحجره اذا شفت كورونا بطقه بالسيف,Joking,0,0,0,0,0,0,0,0,0,0,1
عاجل البحرين تعلن القضاء فايروس كرونا نهايا نتظره بس اله يفرحنا,Positive,1,0,1,0,0,0,0,0,0,0,0
رب تحفظ الكويت واهلها وبلاد المسلمين شر كورونا يارب,Positive,0,0,1,0,0,0,0,0,0,0,0
كورونا العقل بي طريقت الحمير حقتنه,Negative,0,0,0,0,0,0,1,0,0,0,0
الفرقه الناجيه زمان كورونا هي المعتزله والهالكه هي الخوارج,Positive,1,0,0,0,0,0,0,0,0,0,0
عيونك فايروس كورونا قلبي صيني مايتحمل,Joking,0,0,0,0,0,0,0,0,0,0,1
كورونا وامر بتاديبهم فصله عقولهم,Joking,0,0,0,0,0,0,0,0,0,0,1
فضلكم ان يصيب فيروس كورونا بمرتين,Negative,0,0,0,0,1,0,0,0,0,0,0
شابين بحاله جيده بلندن توفوا كورونا يعانوا ا ي مشاكل صحيه,Negative,0,0,0,1,0,1,0,0,0,0,0
الصحه العالميه المصابين العالم يتجاوز ال الفا,Neutral,0,0,0,0,0,0,0,0,1,0,0
كلام ان حد عايلتك اصابه كرونا ارجو تكذيب او التاكيد,Negative,0,0,0,0,1,0,1,0,0,0,0
حياتي اشتري ملابس اون لاين يارب تطلع القياسات صح,Neutral,0,0,0,0,0,0,0,0,0,1,0
هام اقاله مدير معهد الزوافي فوزي درار تحويل ملفه العداله,Neutral,0,0,0,0,0,0,0,0,1,0,0
ايه العشاق يزيدو اتنين واله هيجرا حاجه,Neutral,0,0,0,0,0,0,0,0,0,1,0
رسول اله صلى اله وسلم يومن احدكم يحب لاخيه يحب لنفسه,Positive,0,0,1,0,0,0,0,0,0,0,0
